#Aegean version 2.3.0-(2022-08-17)
# on dataset: /mnt/storage-work/wushaofeng/work/sim/ska1-low/SDP-39/sim2/QA_new/aegean/CIP_t1_SDP-39_sim2_noise1e-5_fov4.5_nmoment3_cip.taylor.0.restored.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0001,00) -0.000019  0.000970 23:14:35.44  -10:20:56.46 348.6476583  0.0002201 -10.3490164  0.0002158  0.005788  0.000955  0.005981  0.001047  9.92  0.45  7.16  0.26   60.5   0.5   0000000
(0002,00) -0.000005  0.000641 23:05:53.29  -10:20:53.59 346.4720359  0.0001162 -10.3482193  0.0001246  0.005937  0.000608  0.007261  0.000768  9.50  0.16  8.86  0.18  -25.4   1.0   0000000
(0003,00) -0.000022  0.000932 23:05:44.08  -10:20:57.39 346.4336540  0.0002964 -10.3492757  0.0002918  0.004244  0.000891  0.004244  0.000891  8.47 -1.00  8.12 -1.00   61.4  -1.0   0000100
(0005,00) -0.000060  0.000912 23:03:28.48  -10:20:50.06 345.8686474  0.0002197 -10.3472401  0.0002396  0.004939  0.000896  0.005562  0.001121  9.32  0.61  8.31  0.49   47.8   1.4   0000000
(0006,00) -0.000021  0.000920 23:05:42.25  -10:20:53.13 346.4260444  0.0001582 -10.3480908  0.0001888  0.004939  0.000922  0.003650  0.000708  7.82  0.19  6.50  0.30  -28.0   0.6   0000000
(0007,00) -0.000021  0.000916 23:05:43.30  -10:20:46.69 346.4304116  0.0000222 -10.3463037  0.0000221  0.044039  0.000891  0.045940  0.000963  8.60  0.03  8.34  0.03   62.0   0.5   0000000
(0010,00) -0.000030  0.000623 23:13:59.50  -10:20:45.72 348.4979196  0.0002126 -10.3460330  0.0001681  0.003774  0.000593  0.004705  0.000758 10.54  0.28  8.13  0.19   68.4   0.5   0000000
(0011,00) -0.000019  0.000906 23:05:44.35  -10:20:40.20 346.4347803  0.0001595 -10.3444986  0.0001895  0.004808  0.000905  0.003535  0.000691  7.78  0.19  6.50  0.30  -27.9   0.6   0000000
(0013,00) -0.000021  0.000903 23:05:42.51  -10:20:36.15 346.4271457  0.0001621 -10.3433755  0.0001624  0.004703  0.000907  0.002995  0.000603  6.74  0.28  6.50  0.27   54.1   3.3   0000000
(0014,00)  0.000061  0.001905 23:00:51.12  -10:20:17.93 345.2130018       nan -10.3383134       nan  0.010817  124091.216927  0.010817  124091.216927  8.47 -1.00  8.12 -1.00   61.6  -1.0   0000100
(0015,00) -0.000019  0.000891 23:05:43.55  -10:20:29.73 346.4314726  0.0001402 -10.3415930  0.0001434  0.005178  0.000895  0.003180  0.000559  6.50  0.14  6.50  0.15   68.6  20.1   0000000
