#======== CAESAR RESULTS ======
# This ascii file contains source islands (or blobs) found by CAESAR.
# Source parameters are described in the header below.
# NB: Fitted components, if available, are reported in a different ascii file. 
#     We include here the total fitted flux density summed over all components.
#
# ---- HEADER ----
# name - Source name assigned by finder
# iauName - Source name in IAU notation
# npix - Number of pixels in source
# nComponents - Number of fitted components (=0 if fit not performed or failed)
# nNestedSources - Number of nested sources detected
# x - Source centroid in image coordinates along x axis 
# y - Source centroid in image coordinates along y axis 
# x_w - Source centroid in image coordinates along x axis, weighted by pixel fluxes 
# y_w - Source centroid in image coordinates along y axis, weighted by pixel fluxes 
# x_wcs - Source centroid in selected WCS coordinate (deg) along x axis
# y_wcs - Source centroid in selected WCS coordinate (deg) along y axis
# x_w_wcs - Source centroid in selected selected WCS coordinate (deg) along x axis, weighted by pixel fluxes
# y_w_wcs - Source centroid in selected selected WCS coordinate (deg) along y axis, weighted by pixel fluxes
# xmin - Source minimum pixel image coordinate along x axis
# xmax - Source maximum pixel image coordinate along x axis
# ymin - Source minimum pixel image coordinate along y axis
# ymax - Source maximum pixel image coordinate along y axis
# xmin_wcs - Source minimum pixel WCS coordinate (deg) along x axis
# xmax_wcs - Source maximum pixel WCS coordinate (deg) along x axis
# ymin_wcs - Source minimum pixel WCS coordinate (deg) along y axis
# ymax_wcs - Source maximum pixel WCS coordinate (deg) along y axis
# nu - Spectral axis value present in image header. If frequency it is given in GHz units.
# Stot - Sum of source pixel brightness in Jy/beam units.
# Smax - Maximum source pixel flux in Jy/beam units.
# S - Fitted source flux density in Jy units
# SErr - Fitted source flux density error in Jy units
# beamArea - Number of pixels in beam. Used to convert flux parameters from Jy/beam to Jy/pixel (e.g. Jy/pixel=Jy/beam/beamarea).
# bkgSum - Background estimator summed over all source pixels (in Jy/beam).
# rmsSum - Noise (rms) estimator summed over all source pixels (in Jy/beam).
# morphId - Source morphology tag (eUnknownMorph=0, eCompact=1, ePointLike=2, eExtended=3, eCompactPlusExtended=4, eDiffuse=5)
# sourcenessId - Sourceness flag (eReal=1, eCandidate=2, eFake=3)
# isGoodSource - Bool flag indicating if source was tagged as good (true) or bad (false) in the finding process
# sourceNestedLevel - Source nested level (0=mother source,1=nested source,...)
# ---------------
#
# name	iauName	npix	nComponents	nNestedSources	x	y	x_w	y_w	x_wcs(deg)	y_wcs(deg)	x_w_wcs(deg)	y_w_wcs(deg)	xmin	xmax	ymin	ymax	xmin_wcs(deg)	xmax_wcs(deg)	ymin_wcs(deg)	ymax_wcs(deg)	nu(GHz)	Stot(Jy/beam)	Smax(Jy/beam)	S(Jy)	Serr(Jy)	beamArea	bkgSum(Jy/beam)	rmsSum(Jy/beam)	morphId	sourcenessId	isGoodSource	sourceNestedLevel	
S0	J231855.236-101731.38	1304	0	0	204.938	191.035	204.982	192.789	349.73015	-10.292049	349.73013	-10.291567	185	226	170	212	349.73576	349.72423	-10.297801	-10.286318	0	0.51328876	0.007956882	0	0	79.632425	-0.0025877387	0.79636689	1	2	1	0
S1	J231820.911-101734.10	1297	0	0	716.938	190.997	718.583	184.59	349.58713	-10.292807	349.58668	-10.29457	697	738	170	212	349.59274	349.58121	-10.29855	-10.287064	0	-0.1290006	0.001547373	0	0	79.632425	-0.046188747	0.75376461	1	2	1	0
S2	J231810.693-101712.03	77	0	0	869.208	214.078	869.21	214.03	349.54455	-10.286676	349.54455	-10.286689	864	874	210	218	349.54602	349.54321	-10.287789	-10.285604	0	0.28526337	0.0057100458	0	0	79.632425	-0.0010855248	0.043684874	2	2	1	0
S3	J231751.477-101912.69	184	0	0	1156.61	93.5598	1156.44	93.9944	349.46449	-10.320191	349.46453	-10.320071	1150	1163	86	101	349.46635	349.46269	-10.32226	-10.318154	0	1.6031562	0.021174653	0	0	79.632425	-0.0022506168	0.10937842	2	2	1	0
S4	J231746.589-101736.62	1297	0	0	1228.94	190.997	1232.42	213.003	349.44412	-10.293505	349.44311	-10.287461	1209	1250	170	212	349.44972	349.4382	-10.29925	-10.28776	0	0.051261911	0.0014707186	0	0	79.632425	-0.012742383	0.85167056	1	2	1	0
S5	J231734.196-101504.24	197	0	0	1412.9	345.868	1413.06	345.936	349.39248	-10.251177	349.39244	-10.251158	1405	1421	338	353	349.3947	349.39021	-10.253329	-10.249227	0	1.6135574	0.021091754	0	0	79.632425	-0.0024216183	0.10592291	2	2	1	0
S6	J231712.269-101738.95	1297	0	0	1740.94	190.997	1721.4	188.208	349.30112	-10.294153	349.30658	-10.294896	1721	1762	170	212	349.30672	349.29521	-10.2999	-10.288406	0	-0.094305349	0.0012782589	0	0	79.632425	-0.032735169	0.77475207	1	2	1	0
S7	J231705.267-101237.03	236	0	0	1843.72	496.585	1843.71	496.569	349.27194	-10.210287	349.27195	-10.210291	1835	1852	489	504	349.27439	349.26962	-10.212361	-10.208259	0	3.6156064	0.047084536	0	0	79.632425	-0.0037970467	0.13021913	2	2	1	0
S8	J231619.282-102004.63	33	0	0	2532.21	47.0606	2532.25	47.0719	349.08034	-10.33462	349.08033	-10.334617	2529	2536	45	49	349.08124	349.07928	-10.335183	-10.334091	0	0.24637808	0.0098245265	0	0	79.632425	-0.0015894541	0.043438158	2	2	1	0
S9	J231618.562-101955.20	11	0	0	2542.91	56.6364	2542.91	56.6697	349.07734	-10.331999	349.07734	-10.33199	2542	2544	55	58	349.0776	349.07704	-10.332448	-10.331626	0	0.065178404	0.0065926313	0	0	79.632425	-0.00052981803	0.014479386	2	2	1	0
