# Number of sources: 8064
# RA (deg), Dec (deg), I (Jy), Q (Jy), U (Jy), V (Jy), Ref. freq. (Hz), Spectral index, Rotation measure (rad/m^2), FWHM major (arcsec), FWHM minor (arcsec), Position angle (deg)
 347.597351, -11.593513, 2.349629e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.829905e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.218475, -11.514447, 2.729027e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.212799, -11.513665, 2.909770e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.628759e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.947296, -11.480449, 3.555570e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.746063, -11.504668, 1.690643e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.140650e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.124969, -11.408264, 8.320708e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.191150e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.499603, -11.402146, 1.746000e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.900623e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.481049, -11.347442, 1.483176e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.482225e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.628479, -11.403351, 1.287623e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.178683e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.722443, -11.348444, 2.863413e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.447718e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.438110, -11.336802, 1.113061e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.733472e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.334839, -11.256783, 4.259412e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.098100e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.322021, -11.314069, 1.720045e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.534973, -11.305243, 9.539444e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.363556, -11.330414, 1.226169e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-6.853905e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.351898, -11.207640, 2.752202e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.008690e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.920624, -11.090515, 8.393089e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.343197e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.904419, -11.143221, 5.339903e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-5.677044e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.995941, -11.121571, 1.213446e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.296112, -11.142805, 6.838913e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.141657e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.273468, -11.105148, 4.575182e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.523701e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 346.844421, -11.170638, 2.090135e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.763633e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.614532, -11.091205, 1.043300e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.236518e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.843567, -11.109808, 5.120756e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-8.463809e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.566071, -10.991555, 1.247509e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.011719e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.956207, -11.028429, 1.074567e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.375305, -11.031740, 2.492728e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.814087e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 348.931274, -10.947777, 1.778139e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-9.297589e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.604919, -10.955903, 1.447505e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-1.012174e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
 347.621155, -10.908797, 6.873092e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.510000e+08,-7.749527e-01, 0.000000e+00, 0.000000e+00, 0.000000e+00,   0.000000
